interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
300min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1574,0.122162315718385,0.131064523040897,5692.91066846456,TRUE,5
30min,within_day,M53,"butterfly_difference_cbrt ~ s(total_butterflies_t_lag) + s(temperature_avg) + ti(max_gust, butterflies_direct_sun_t_lag)",1745,0.0917708977235084,0.109648542140248,6409.58806867499,TRUE,0.5
330min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1638,0.123601923311708,0.132310769437059,5885.87876626368,TRUE,5.5
360min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1575,0.0935515925248545,0.102799225356358,5473.51114986153,TRUE,6
390min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1420,0.0568766751749772,0.0661386654539743,5001.50777131232,TRUE,6.5
3day,first_to_first,B11,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1,126,0.401202787288431,0.461847648880621,797.429822294409,TRUE,72
3day,last_to_last,B52,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1,126,0.358958784395236,0.404736846039408,808.643859768216,TRUE,72
3day,max_to_max,B52,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * temp_at_max_count_t_1,126,0.250912410094931,0.268816254706436,828.812174572623,TRUE,72
3day,max_to_sunset,B29b,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + temp_at_max_count_t_1,126,0.47999163805108,0.501502503948813,784.72334686060594,TRUE,72
3day,mid_to_mid,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",126,0.431296834722908,0.457118845751052,726.133449202757,TRUE,72
420min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1267,0.0258755780183719,0.0350084492756993,4398.80449077209,TRUE,7
450min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1111,0.0157706276306074,0.0250460113711417,3706.93804915066,TRUE,7.5
480min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),980,0.014462592203943,0.0250950477294298,3301.2003123183,TRUE,8
4day,first_to_first,B20,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,120,0.407166461964536,0.470246473124186,766.540095550266,TRUE,96
4day,last_to_last,B3,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1,120,0.376182872812899,0.435354562984014,762.921911670475,TRUE,96
4day,max_to_max,B4,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1,120,0.371847665134795,0.383338586252543,777.806488425427,TRUE,96
4day,max_to_sunset,BT3,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_max_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",120,0.551048979631863,0.651074757285714,752.221857626251,TRUE,96
4day,mid_to_mid,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",120,0.501654619608237,0.585315887042292,701.140997122752,TRUE,96
