Model,Base_Model,Correlation,Formula,AIC,LogLik,df,Delta_AIC,AIC_weight
M39_AR1,M39,AR1,butterfly_diff_95th_sqrt ~ s(temp_at_max_count_t_1) + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,698.1538757073414,-341.0769378536707,8,29.752798197781544,5.1140477114737213e-8
M15_no_corr,M15_no,corr,Unknown formula,698.2577399320651,-344.12886996603254,5,29.856662422505224,4.855242718686686e-8
M15_AR1,M15,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,698.5141770264593,-343.25708851322963,6,30.11309951689941,4.270968202470087e-8
M19_no_corr,M19_no,corr,Unknown formula,698.6253345263644,-343.3126672631822,6,30.224257016804586,4.040069104472693e-8
B45_AR1,B45,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,698.798493021606,-340.399246510803,9,30.39741551204611,3.704997371397744e-8
M19_AR1,M19,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,698.8281346694272,-342.4140673347136,7,30.42705715986733,3.650491168899558e-8
B53_AR1,B53,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 * sum_butterflies_direct_sun_t_1,698.8794453711438,-342.4397226855719,7,30.478367861583934,3.5580277000662854e-08
B44_no_corr,B44_no,corr,Unknown formula,699.4545211033292,-341.7272605516646,8,31.053443593769316,2.6689056204627503e-8
B43_no_corr,B43_no,corr,Unknown formula,699.6577767151497,-342.82888835757484,7,31.256699205589825,2.4109978380635697e-8
M18_no_corr,M18_no,corr,Unknown formula,699.8885819843812,-343.9442909921906,6,31.48750447482132,2.1482167253146345e-8
M6_AR1,M6,AR1,butterfly_diff_95th_sqrt ~ sum_butterflies_direct_sun_t_1,699.9326757535806,-344.9663378767903,5,31.531598244020756,2.1013735099472387e-8
M21_no_corr,M21_no,corr,Unknown formula,700.1834349606521,-342.09171748032605,8,31.782357451092253,1.8537517893894587e-8
M6_no_corr,M6_no,corr,Unknown formula,700.3969238231837,-346.19846191159183,4,31.995846313623815,1.6660693149387473e-8
M18_AR1,M18,AR1,butterfly_diff_95th_sqrt ~ temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,700.431348807043,-343.2156744035215,7,32.03027129748318,1.6376375034182217e-8
M16_AR1,M16,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + sum_butterflies_direct_sun_t_1,700.9883934067095,-344.49419670335476,6,32.587315897149665,1.2395301006668579e-8
M21_AR1,M21,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,701.2432765137655,-341.62163825688276,9,32.84219900420567,1.0912139620878924e-8
M17_AR1,M17,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,701.4490924886894,-343.7245462443447,7,33.04801497912956,9.84504131595567e-9
M17_no_corr,M17_no,corr,Unknown formula,701.45711434084,-344.72855717042,6,33.05603683128015,9.805632668447378e-9
M16_no_corr,M16_no,corr,Unknown formula,701.4943114566428,-345.7471557283214,5,33.09323394708292,9.624947491680459e-9
B45_no_corr,B45_no,corr,Unknown formula,701.8900677728739,-342.94503388643693,8,33.48899026331401,7.896978884383322e-9
B42_no_corr,B42_no,corr,Unknown formula,702.5227006290776,-344.2613503145388,7,34.12162311951772,5.755545578898746e-9
M44_AR1,M44,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,702.6103738266496,-343.3051869133248,8,34.20929631708975,5.508692172595207e-9
M44_no_corr,M44_no,corr,Unknown formula,702.7305892088837,-344.36529460444183,7,34.3295116993238,5.187332254897613e-9
M20_no_corr,M20_no,corr,Unknown formula,703.2249027957598,-344.6124513978799,7,34.82382528619996,4.051401032268716e-9
M20_AR1,M20,AR1,butterfly_diff_95th_sqrt ~ temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,703.5308232293681,-343.76541161468407,8,35.129745719808284,3.476765954876711e-9
M43_no_corr,M43_no,corr,Unknown formula,703.7239247905852,-345.8619623952926,6,35.32284728102536,3.1567775915085687e-9
M45_no_corr,M45_no,corr,Unknown formula,704.1245030198684,-345.0622515099342,7,35.723425510308516,2.5838037712972952e-9
M43_AR1,M43,AR1,butterfly_diff_95th_sqrt ~ wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,705.4772975729611,-345.73864878648055,7,37.07622006340125,1.3137233618617976e-9
M45_AR1,M45,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 + wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,705.8931802250279,-344.94659011251395,8,37.492102715468036,1.067077966657257e-9
M42_AR1,M42,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * sum_butterflies_direct_sun_t_1,709.821399827045,-347.9106999135225,7,41.4203223174851,1.4969045350196713e-10
B53_no_corr,B53_no,corr,Unknown formula,710.4838242530255,-349.2419121265128,6,42.08274674346569,1.0748564519051583e-10
M42_no_corr,M42_no,corr,Unknown formula,712.0444485891363,-350.02222429456816,6,43.64337107957647,4.925668711986514e-11
B46_AR1,B46,AR1,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,719.3104292127096,-347.6552146063548,12,50.909351703149696,1.3021995883450464e-12
B46_no_corr,B46_no,corr,Unknown formula,723.5284976151032,-350.7642488075516,11,55.127420105543365,1.5802858011665585e-13
M46_no_corr,M46_no,corr,Unknown formula,729.911272823331,-354.9556364116655,10,61.51019531377119,6.497310352670695e-15
M46_AR1,M46,AR1,butterfly_diff_95th_sqrt ~ temp_at_max_count_t_1 * wind_max_gust_t_1 * sum_butterflies_direct_sun_t_1,731.2475528221124,-354.6237764110562,11,62.84647531255257,3.3309191934752063e-15
