deployment_id,image_filename,total_butterflies,butterflies_direct_sun,timestamp,date,day_id,complete_day,AR_start
SC10,SC10_20240107070604.JPG,10,0,2024-01-07T07:06:04Z,2024-01-07,SC10-20240107,TRUE,TRUE
SC10,SC10_20240107073604.JPG,10,0,2024-01-07T07:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107080604.JPG,9,0,2024-01-07T08:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107083604.JPG,4,0,2024-01-07T08:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107090604.JPG,4,2,2024-01-07T09:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107093604.JPG,7,7,2024-01-07T09:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107100604.JPG,3,3,2024-01-07T10:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107103604.JPG,0,0,2024-01-07T10:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107110604.JPG,0,0,2024-01-07T11:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107113604.JPG,0,0,2024-01-07T11:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107120604.JPG,5,5,2024-01-07T12:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107123604.JPG,8,8,2024-01-07T12:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107130604.JPG,34,34,2024-01-07T13:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107133604.JPG,39,39,2024-01-07T13:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107140604.JPG,77,4,2024-01-07T14:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107143604.JPG,59,2,2024-01-07T14:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107150604.JPG,68,0,2024-01-07T15:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107153604.JPG,78,0,2024-01-07T15:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107160604.JPG,68,0,2024-01-07T16:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107163604.JPG,69,0,2024-01-07T16:36:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240107170604.JPG,58,0,2024-01-07T17:06:04Z,2024-01-07,SC10-20240107,TRUE,FALSE
SC10,SC10_20240108070604.JPG,60,0,2024-01-08T07:06:04Z,2024-01-08,SC10-20240108,TRUE,TRUE
